[2016-12-19 13:25:17,800] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,24] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,41] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,0] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,38] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,13] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,8] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,5] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,39] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,36] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,40] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,45] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,15] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,33] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,37] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,21] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,6] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,11] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,20] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,443] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,47] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,2] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,27] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,34] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,9] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,22] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,42] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,14] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,25] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,10] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,48] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,31] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,18] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,19] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,12] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,46] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,43] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,1] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,26] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,450] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,30] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2016-12-19 13:46:39,454] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,25] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,454] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,12] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,455] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,31] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,455] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,40] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,455] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,35] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,455] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,9] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,455] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,43] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,455] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,2] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,455] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,11] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,461] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,29] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,471] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,30] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,472] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,4] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,472] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,42] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,472] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,26] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,472] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,34] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,472] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,17] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,473] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,37] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,473] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,27] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,473] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,10] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,473] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,41] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,473] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,20] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,473] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,28] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,474] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,46] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,480] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,39] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,480] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,47] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,480] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,49] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,481] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,22] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,481] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,1] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,481] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,24] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,481] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,6] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,481] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,36] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,481] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,8] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,482] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,38] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,482] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,16] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,483] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,21] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,483] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,18] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,483] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,0] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,483] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,48] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,483] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,5] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,484] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,13] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,484] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,3] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,487] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,44] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,487] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,15] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,487] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,7] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,487] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,19] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,488] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,33] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,488] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,45] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,488] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,23] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,488] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,32] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,488] TRACE Controller 0 epoch 1 changed state of replica 0 for partition [__consumer_offsets,14] from NonExistentReplica to NewReplica (state.change.logger)
[2016-12-19 13:46:39,500] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,32] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,511] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,16] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,532] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,49] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,536] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,44] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,548] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,28] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,556] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,17] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,563] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,23] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,575] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,7] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,584] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,4] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,589] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,29] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,599] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,35] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,602] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,3] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,608] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,24] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,644] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,41] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,684] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,0] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,770] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,38] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,808] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,13] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,835] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,8] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,844] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,5] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,853] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,39] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,868] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,36] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,882] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,40] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,912] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,45] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,963] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,15] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,969] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,33] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,975] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,37] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,981] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,21] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,993] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,6] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:39,998] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,11] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,009] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,20] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,016] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,47] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,058] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,2] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,065] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,27] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,087] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,34] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,096] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,9] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,104] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,22] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,109] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,42] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,123] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,14] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,141] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,25] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,147] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,10] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,156] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,48] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,159] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,31] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,183] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,18] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,191] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,19] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,209] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,12] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,213] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,46] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,219] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,43] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,229] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,1] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,233] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,26] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,256] TRACE Controller 0 epoch 1 changed partition [__consumer_offsets,30] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2016-12-19 13:46:40,256] TRACE Controller 0 epoch 1 sending become-leader LeaderAndIsr request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to broker 0 for partition [__consumer_offsets,49] (state.change.logger)
[2016-12-19 13:46:40,256] TRACE Controller 0 epoch 1 sending become-leader LeaderAndIsr request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to broker 0 for partition [__consumer_offsets,38] (state.change.logger)
[2016-12-19 13:46:40,256] TRACE Controller 0 epoch 1 sending become-leader LeaderAndIsr request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to broker 0 for partition [__consumer_offsets,16] (state.change.logger)
[2016-12-19 13:46:40,256] TRACE Controller 0 epoch 1 sending become-leader LeaderAndIsr request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) to broker 0 for partition [__consumer_offsets,27] (state.change.logger)
